job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
19-125,Complete,GARRMACH,2019-12-23T00:00:00,310 SST PLATE,310 SST PLATE,,1,1475.00,1475.00,1,ea,ea,,4750,
20-001,Complete,EVERPACK,2020-01-07T00:00:00,"25,500 GAL SST CAUSTIC TANK","25,500 GAL SST CAUSTIC TANK",,1,72200.00,72200.00,1,ea,ea,,8901527553,
20-002,Complete,KIMCLARK,2020-01-07T00:00:00,400 G CST ASME BOILER BLOWOFF,400 G CST ASME BOILER BLOWOFF,,1,19250.00,19250.00,1,ea,ea,,16612808,
20-003,Complete,DAYBREAK,2020-01-16T00:00:00,ROLL (4) SST PIPES,ROLL (4) SST PiPES,,1,1200.00,1200.00,1,ea,ea,,VERBAL,
20-004,Complete,MILLIKEN,2020-01-21T00:00:00,DISCHARGE WATER AND SEAL TANK,DISCHARGE WATER AND SEAL TANK,,1,12500.00,12500.00,1,ea,ea,,6701177057,
20-005,Complete,SOLVSPEC,2020-01-21T00:00:00,DRYER RECEIVER,DRYER RECEIVER,,1,14100.00,14100.00,1,ea,ea,,4513470535-5782,
20-006,Complete,SOLVSPEC,2020-01-21T00:00:00,CONTAINMENT RECEIVER,CONTAINMENT RECEIVER,,1,12900.00,12900.00,1,ea,ea,,4513470535-5782,
20-007,Complete,SOLVSPEC,2020-01-21T00:00:00,RECYCLE TANK,RECYCLE TANK,,1,11300.00,11300.00,1,ea,ea,,4513470535-5782,
20-008,Complete,SOLVSPEC,2020-01-21T00:00:00,RECYCLE TANK,RECYCLE TANK,,1,11300.00,11300.00,1,ea,ea,,4513470535-5782,
20-009,Complete,SOLVSPEC,2020-01-21T00:00:00,RECYCLE TANK,RECYCLE TANK,,1,11300.00,11300.00,1,ea,ea,,4513470535-5782,
20-010,Complete,SOLVSPEC,2020-01-21T00:00:00,RECYCLE TANK,RECYCLE TANK,,1,11300.00,11300.00,1,ea,ea,,4513470535-5782,
20-011,Complete,INTEPAPFR,2020-01-22T00:00:00,TRS COLLECTION TANK,TRS COLLECTION TANK,,1,10000.00,10000.00,1,ea,ea,,13947317,
20-012,Complete,YATECONS,2020-01-27T00:00:00,THERMOFORMING WW RETURN TK,THERMOFORMING WW RETURN TK,,1,42950.00,42950.00,1,ea,ea,,2091000012,
20-013,Complete,MAGIEXTE,2020-01-28T00:00:00,ROLL (4) ALUMINUM SQ. TUBES,ROLL (4) ALUMINUM SQ. TUBES,,1,1600.00,1600.00,1,ea,ea,,VERBAL,
20-014,Complete,NEXAHIGH,2020-01-29T00:00:00,36 METER PIPE SPOOL,36 METER PIPE SPOOL,,1,37850.00,37850.00,1,ea,ea,,EP10441052,
20-015,Complete,IRVCPROD,2020-01-31T00:00:00,"9,500 GAL TAD FABRIC RELEASE B","9,500 GAL TAD FABRIC RELEASE B",,1,50250.00,50250.00,1,ea,ea,,20449347 OP,
20-016,Complete,IRVCPROD,2020-01-31T00:00:00,"9,500 GAL TAD FABRIC RELEASE T","9,500 GAL TAD FABRIC RELEASE T",,1,50950.00,50950.00,1,ea,ea,,20449347 OP,
20-017,Complete,IRVCPROD,2020-01-31T00:00:00,13000 GAL YANKEE MACHINE CHEST,13000 GAL YANKEE MACHINE CHEST,,1,55250.00,55250.00,1,ea,ea,,20449348 OP,
20-018,Complete,IRVCPROD,2020-01-31T00:00:00,13000 GAL CORE MACHINE CHEST,13000 GAL CORE MACHINE CHEST,,1,49950.00,49950.00,1,ea,ea,,20449348 OP,
20-019,Complete,IRVCPROD,2020-02-13T00:00:00,13000 GAL TAD MACHINE CHEST,13000 GAL TAD MACHINE CHEST,,1,55250.00,55250.00,1,ea,ea,,20449348 OP,
20-020,Complete,IRVCPROD,2020-02-13T00:00:00,6500 GAL DAF RECOVERY FIBER TK,6500 GAL DAF RECOVERY FIBER TK,,1,44350.00,44350.00,1,ea,ea,,20449348 OP,
20-021,Complete,IRVCPROD,2020-01-31T00:00:00,11000 GAL MAKE-UP WATER TANK,11000 GAL MAKE-UP WATER TANK,,1,10029.00,10029.00,0,ea,ea,,20449347 OP,
20-022,Complete,IRVCPROD,2020-01-31T00:00:00,20000 GAL WET STRENGTH RESIN,20000 GAL WET STRENGTH RESIN,,1,65750.00,65750.00,2,ea,ea,,20449347 OP,
20-023,Complete,IRVCPROD,2020-01-31T00:00:00,20000 GAL WET STRENGTH RESIN,20000 GAL WET STRENGTH RESIN,,1,65850.00,65850.00,1,ea,ea,,20449347 OP,
20-024,Complete,IRVCPROD,2020-01-31T00:00:00,6500 GAL BOW SCREEN RECOVERY,6500 GAL BOW SCREEN RECOVERY,,1,46750.00,46750.00,1,ea,ea,,20449348 OP,
20-025,Complete,IRVCPROD,2020-01-31T00:00:00,4500 GAL CONDENSATE TANK,4500 GAL CONDENSATE TANK,,1,16124.00,16124.00,0,ea,ea,,20449347 OP,
20-026,Complete,IRVCPROD,2020-01-31T00:00:00,300 GAL TAD SEAL POT,300 GAL TAD SEAL POT,,1,8850.00,8850.00,1,ea,ea,,20449348 OP,
20-027,Complete,IRVCPROD,2020-01-31T00:00:00,1300 GAL FORMING SEAL POT,1300 GAL FORMING SEAL POT,,1,34450.00,34450.00,1,ea,ea,,20449348 OP,
20-028,Complete,IRVCPROD,2020-01-31T00:00:00,TAD SEAL POT,TAD SEAL POT,,1,14150.00,14150.00,1,ea,ea,,20449347 OP,
20-029,Complete,IRVCPROD,2020-01-31T00:00:00,DRY STRENGTH BULK TANK,DRY STRENGTH BULK TANK,,1,66100.00,66100.00,2,ea,ea,,20449347 OP,
20-030,Complete,SOLVSPEC,2020-02-04T00:00:00,FILTERED POLYMER TK V-1175,FILTERED POLYMER TK V-1175,,1,29250.00,29250.00,1,ea,ea,,4513476992-5782,
20-031,Complete,ANDRITZI,2020-01-30T00:00:00,(8) 2205 GREEN LIQUOR SPRAY NO,(8) 2205 GREEN LIQUOR SPRAY NO,,1,15800.00,15800.00,1,ea,ea,,4502795002,
20-032,Complete,BCRENVIR,2020-02-03T00:00:00,15000 GAL PROCESS TANK,15000 GAL PROCESS TANK,,1,98725.00,98725.00,2,ea,ea,,123390,
20-033,Complete,BCRENVIR,2020-02-03T00:00:00,15000 GAL PROCESS TANK,15000 GAL PROCESS TANK,,1,98725.00,98725.00,2,ea,ea,,123390,
20-034,Complete,ANDRITZI,2020-02-04T00:00:00,FOUL CONDENSATE TANK,FOUL CONDENSATE TANK,,1,11675.00,11675.00,0,ea,ea,,4502798810,
20-035,Complete,IMTT1111,2020-02-10T00:00:00,HOT OIL EXPANSION TANK,HOT OIL EXPANSION TANK,,1,24200.00,24200.00,1,ea,ea,,80303,
20-036,Complete,ROSENBLAD,2020-02-19T00:00:00,(6) SST ROLLED PADS,(6) SST ROLLED PADS,,1,350.00,350.00,0,ea,ea,,3529-G1734-33,
