25-158,VERTCORP,BUFFER TANK 35 OF 224,Active,NULL,SCOTT,2026-03-13 07:27:21.000,2025-12-15 00:00:00.000
25-193,VERTCORP,BUFFER TANK 70 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-194,VERTCORP,BUFFER TANK 71 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-195,VERTCORP,BUFFER TANK 72 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-196,VERTCORP,BUFFER TANK 73 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-197,VERTCORP,BUFFER TANK 74 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-198,VERTCORP,BUFFER TANK 75 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-199,VERTCORP,BUFFER TANK 76 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-200,VERTCORP,BUFFER TANK 77 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-201,VERTCORP,BUFFER TANK 78 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:38.000,2025-12-15 00:00:00.000
25-192,VERTCORP,BUFFER TANK 69 OF 224,Active,NULL,SCOTT,2026-03-13 07:23:37.000,2025-12-15 00:00:00.000
25-023,ANDRITZI,PRODUCT LIQUOR FLASH TANK,Complete,NULL,DAVID,2026-03-12 15:32:33.000,2025-01-30 00:00:00.000
26-024,POLYCOMP,WATER TANK,Active,NULL,SHERRI,2026-03-12 11:05:25.000,2026-03-05 00:00:00.000
25-185,VERTCORP,BUFFER TANK 62 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-186,VERTCORP,BUFFER TANK 63 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-187,VERTCORP,BUFFER TANK 64 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-188,VERTCORP,BUFFER TANK 65 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-189,VERTCORP,BUFFER TANK 66 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-190,VERTCORP,BUFFER TANK 67 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-191,VERTCORP,BUFFER TANK 68 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:24.000,2025-12-15 00:00:00.000
25-184,VERTCORP,BUFFER TANK 61 OF 224,Active,NULL,SCOTT,2026-03-12 07:14:23.000,2025-12-15 00:00:00.000
